,Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,week,uid
20,2022-02-10,6,PA,28161625,1500800,10524260,16136565,0,219979,254131,276980,1176660,21791772,21171603,19958962,6149892,759006,8431949,12599465,1352,170222,191053,196304,256956,21858876,10573455,82.6,10226881,92.3,9617456,94.6,2672506,95.0,8484950,66.3,8221953,74.2,7725118,76.0,2200784,92.0,708720,3059963,4715635,632,708635,3059683,4453005,630,708178,3057574,3958782,584,89377,1034798,1076323,286,3424954.0,40.4,3424543.0,41.7,3328001.0,43.1,2310996.0,53.5,1354467.0,61.5,1510874.0,1857303.0,56727.0,50.0,10571460.0,87.3,8484427.0,70.1,21789298.0,180016.0,232663.0,3059837.0,4715292.0,708667.0,631.0,06,PA202206
21,2022-02-10,6,NE,3694090,149300,1281460,2263330,0,190967,228396,253309,1182270,3039868,2943568,2749149,812627,92385,1097344,1844196,5943,157147,181993,188513,260076,3062591,1334745,69.0,1281010,79.2,1186930,81.4,306302,95.0,1198937,62.0,1156774,71.5,1072761,73.6,284283,91.0,87070,409924,700411,1532,87048,409888,658318,1520,86982,409722,574604,1453,6922,138217,138243,901,569383.0,47.5,569309.0,49.2,551732.0,51.4,358057.0,64.5,208810.0,73.5,223559.0,339272.0,6232.0,320.0,1334478.0,74.0,1198881.0,66.5,3039536.0,168533.0,204826.0,409904.0,700390.0,87055.0,1532.0,06,NE202206
22,2022-02-10,6,WV,3768325,159500,1479700,2129125,0,210269,241895,263045,1026760,2610420,2567120,2446168,850067,65970,1127177,1415601,1672,145659,164787,170753,231619,2610816,1144171,63.8,1119045,71.8,1058932,73.9,337768,92.0,1011450,56.4,992956,63.7,940393,65.6,306035,83.4,60062,416048,534875,465,60043,415951,516507,455,59986,415586,464396,425,9557,156499,139785,194,438471.0,43.4,438402.0,44.2,430809.0,45.8,318168.0,56.0,196784.0,64.3,207842.0,225869.0,4693.0,67.0,1143762.0,67.3,1011215.0,59.5,2609709.0,153592.0,221781.0,415971.0,534735.0,60045.0,464.0,06,WV202206
23,2022-02-10,6,VA2,7753020,624800,3768880,3359340,0,0,0,0,0,7170886,7170693,7167412,3789409,253677,3695350,3221576,283,0,0,0,0,7170886,3394523,0.0,3394403,0.0,3392528,0.0,1661801,0.0,2926390,0.0,2926316,0.0,2924933,0.0,1491788,0.0,232592,1434561,1259225,12,232585,1434539,1259180,12,232551,1434500,1257870,12,76445,814903,600439,1,1069668.0,36.6,1069662.0,36.6,1069615.0,36.6,974482.0,42.3,705928.0,47.3,564539.0,485015.0,20114.0,0.0,3394419.0,0.0,2926320.0,0.0,7170713.0,0.0,0.0,1434539.0,1259183.0,232586.0,12.0,06,VA2202206
24,2022-02-10,6,PR,7190970,213300,2514440,4463230,0,225162,252466,274364,1058030,6687811,6424826,5939242,1639678,150229,2587092,3949900,590,209407,225568,226605,241251,6698117,3004772,94.1,2852632,95.0,2629348,95.0,698585,95.0,2560558,80.2,2451503,86.1,2257292,86.1,594558,87.5,138910,942260,1479258,130,138858,942187,1370336,122,138731,941821,1176657,83,23608,294945,275987,18,1210079.0,47.3,1209885.0,49.4,1142350.0,50.6,679649.0,58.1,356975.0,60.0,495403.0,704736.0,9928.0,12.0,3003892.0,95.0,2560350.0,83.2,6686758.0,217370.0,233761.0,942204.0,1479150.0,138866.0,130.0,06,PR202206
25,2022-02-10,6,PW,43990,3800,28500,11690,0,204301,235935,265272,2208330,45645,43582,40211,4764,2346,35362,7873,64,211987,233746,242483,239157,45967,20093,93.3,18823,95.0,17324,95.0,1849,92.8,17554,81.5,16758,89.9,15376,92.7,1769,88.8,2351,12422,2750,31,2351,12422,1954,31,2351,12422,572,31,227,1507,33,2,10653.0,60.7,10653.0,63.6,10157.0,66.1,4370.0,74.5,1434.0,81.1,10001.0,652.0,0.0,0.0,20091.0,95.0,17553.0,86.2,45642.0,224032.0,215923.0,12422.0,2749.0,2351.0,31.0,06,PW202206
26,2022-02-10,6,ME,3127750,151900,1222420,1753430,0,232683,263959,285543,1096440,2676056,2594846,2450213,794351,142048,1091742,1439045,3221,199080,218986,223688,278461,2694212,1194797,88.9,1151101,95.0,1084324,95.0,322717,95.0,1047138,77.9,1009709,85.2,949278,86.7,279982,95.0,130859,377361,538198,720,130837,377341,500815,716,130779,377281,440561,657,24586,127496,127650,250,552835.0,52.8,552778.0,54.7,536306.0,56.5,367908.0,67.0,209126.0,74.7,256788.0,285104.0,10372.0,571.0,1194656.0,93.3,1047105.0,81.8,2675903.0,208945.0,244227.0,377354.0,538191.0,130840.0,720.0,06,ME202206
27,2022-02-10,6,MD,14724030,599900,4956320,9167810,0,243546,285190,312546,1534720,11315866,10902425,10101271,2497207,357114,4110210,6832522,16020,187173,211169,214419,260289,11428766,5091283,84.2,4861370,94.2,4480666,95.0,991305,95.0,4427003,73.2,4244680,82.2,3910935,83.0,893200,93.1,321650,1485551,2615740,4062,321488,1485463,2433724,4005,321283,1484930,2100968,3754,54816,426759,410509,1116,2099285.0,47.4,2098843.0,49.4,2014379.0,51.5,1245552.0,63.7,648104.0,72.6,892179.0,1173141.0,33415.0,550.0,5090564.0,89.6,4426885.0,77.9,11315032.0,199077.0,259055.0,1485518.0,2615695.0,321612.0,4060.0,06,MD202206
28,2022-02-10,6,TN,11913370,502100,4458180,6953090,0,174448,204151,223972,1041930,9420477,9245670,8799113,2752678,256973,3604739,5506994,51771,137945,158437,165424,240746,9281011,4159853,60.9,4061101,69.6,3833773,72.1,1045839,91.5,3622457,53.0,3548057,60.8,3357343,63.1,954258,83.5,231191,1292965,2087086,11215,231138,1292917,2012842,11160,230896,1292356,1823035,11056,35609,473790,439007,5852,1490447.0,41.1,1490236.0,42.0,1465204.0,43.6,1039438.0,55.4,623859.0,65.4,633928.0,832986.0,20542.0,2991.0,4159188.0,64.8,3622324.0,56.4,9419659.0,146711.0,185550.0,1292948.0,2087010.0,231153.0,11213.0,06,TN202206
29,2022-02-10,6,VT,1673610,70800,647840,954970,0,268211,303768,328169,1338470,1333332,1281086,1198360,372979,52542,520303,759607,880,213679,232523,234980,298290,1320256,576979,92.5,548977,95.0,512163,95.0,141679,95.0,497411,79.7,473682,86.0,441116,86.5,125479,95.0,47060,176006,274079,266,47044,175989,250383,266,46981,175939,217947,249,2635,60592,62097,155,287003.0,57.7,286957.0,60.6,273108.0,61.9,176240.0,71.2,97833.0,78.0,123765.0,158882.0,4340.0,16.0,576803.0,95.0,497400.0,83.6,1333166.0,224082.0,281305.0,176005.0,274073.0,47056.0,266.0,06,VT202206
